"yr","naics_code","employee_size","revenue_category","number_of_biz"
"2018","312","8","11","0"
"2018","312","8","12","1"
"2018","312","8","13","0"
"2018","312","8","88","1"
"2018","312","9","0","0"
"2018","312","9","1","0"
"2018","312","9","2","0"
"2018","312","9","3","0"
"2018","312","9","4","0"
"2018","312","9","5","0"
"2018","312","9","6","0"
"2018","312","9","7","0"
"2018","312","9","8","0"
"2018","312","9","9","0"
"2018","312","9","10","0"
"2018","312","9","11","0"
"2018","312","9","12","0"
"2018","312","9","13","0"
"2018","312","9","88","0"
"2018","312","10","0","0"
"2018","312","10","1","0"
"2018","312","10","2","0"
"2018","312","10","3","0"
"2018","312","10","4","0"
"2018","312","10","5","0"
"2018","312","10","6","0"
"2018","312","10","7","0"
"2018","312","10","8","0"
"2018","312","10","9","0"
"2018","312","10","10","0"
"2018","312","10","11","0"
"2018","312","10","12","0"
"2018","312","10","13","0"
"2018","312","10","88","0"
"2018","312","11","0","0"
"2018","312","11","1","0"
"2018","312","11","2","0"
"2018","312","11","3","0"
"2018","312","11","4","0"
"2018","312","11","5","0"
"2018","312","11","6","0"
"2018","312","11","7","0"
"2018","312","11","8","0"
"2018","312","11","9","0"
"2018","312","11","10","0"
"2018","312","11","11","0"
"2018","312","11","12","0"
"2018","312","11","13","0"
"2018","312","11","88","0"
"2018","312","12","0","2"
"2018","312","12","1","0"
"2018","312","12","2","0"
"2018","312","12","3","0"
"2018","312","12","4","0"
"2018","312","12","5","0"
"2018","312","12","6","0"
"2018","312","12","7","0"
"2018","312","12","8","0"
"2018","312","12","9","0"
"2018","312","12","10","0"
"2018","312","12","11","0"
"2018","312","12","12","0"
"2018","312","12","13","0"
"2018","312","12","88","2"
"2018","312","88","0","5"
"2018","312","88","1","0"
"2018","312","88","2","0"
"2018","312","88","3","2"
"2018","312","88","4","20"
"2018","312","88","5","156"
"2018","312","88","6","58"
"2018","312","88","7","50"
"2018","312","88","8","40"
"2018","312","88","9","167"
"2018","312","88","10","8"
"2018","312","88","11","2"
"2018","312","88","12","1"
"2018","312","88","13","0"
"2018","312","88","88","509"
"2018","313","1","0","0"
"2018","313","1","1","1"
"2018","313","1","2","15"
"2018","313","1","3","12"
"2018","313","1","4","14"
"2018","313","1","5","3"
"2018","313","1","6","11"
"2018","313","1","7","0"
"2018","313","1","8","0"
"2018","313","1","9","0"
"2018","313","1","10","0"
"2018","313","1","11","0"
"2018","313","1","12","0"
"2018","313","1","13","0"
"2018","313","1","88","56"
"2018","313","2","0","0"
"2018","313","2","1","0"
"2018","313","2","2","0"
"2018","313","2","3","3"
"2018","313","2","4","3"
"2018","313","2","5","16"
"2018","313","2","6","2"
"2018","313","2","7","15"
"2018","313","2","8","0"
"2018","313","2","9","0"
"2018","313","2","10","0"
"2018","313","2","11","0"
"2018","313","2","12","0"
"2018","313","2","13","0"
"2018","313","2","88","39"
"2018","313","3","0","0"
"2018","313","3","1","0"
"2018","313","3","2","0"
"2018","313","3","3","0"
"2018","313","3","4","1"
"2018","313","3","5","19"
"2018","313","3","6","1"
"2018","313","3","7","2"
"2018","313","3","8","2"
"2018","313","3","9","0"
"2018","313","3","10","0"
"2018","313","3","11","0"
"2018","313","3","12","0"
"2018","313","3","13","0"
"2018","313","3","88","25"
"2018","313","4","0","0"
"2018","313","4","1","0"
"2018","313","4","2","0"
"2018","313","4","3","0"
"2018","313","4","4","0"
"2018","313","4","5","1"
"2018","313","4","6","2"
"2018","313","4","7","1"
"2018","313","4","8","2"
"2018","313","4","9","0"
"2018","313","4","10","0"
"2018","313","4","11","0"
"2018","313","4","12","0"
"2018","313","4","13","0"
"2018","313","4","88","6"
"2018","313","5","0","0"
"2018","313","5","1","0"
"2018","313","5","2","0"
"2018","313","5","3","0"
"2018","313","5","4","0"
"2018","313","5","5","0"
"2018","313","5","6","0"
"2018","313","5","7","2"
"2018","313","5","8","0"
"2018","313","5","9","2"
"2018","313","5","10","0"
"2018","313","5","11","0"
"2018","313","5","12","0"
"2018","313","5","13","0"
"2018","313","5","88","4"
"2018","313","6","0","0"
"2018","313","6","1","0"
"2018","313","6","2","0"
"2018","313","6","3","0"
"2018","313","6","4","0"
"2018","313","6","5","0"
"2018","313","6","6","0"
"2018","313","6","7","0"
"2018","313","6","8","0"
"2018","313","6","9","0"
"2018","313","6","10","0"
"2018","313","6","11","0"
"2018","313","6","12","0"
"2018","313","6","13","0"
"2018","313","6","88","0"
"2018","313","7","0","0"
"2018","313","7","1","0"
"2018","313","7","2","0"
"2018","313","7","3","0"
"2018","313","7","4","0"
"2018","313","7","5","0"
"2018","313","7","6","0"
"2018","313","7","7","0"
"2018","313","7","8","0"
